model,task,metric_name,mean,std
random_forest,regression,MAE,4.638203798010125,0.10092606067270146
random_forest,regression,RMSE,6.566945938892493,0.1528857834367527
random_forest,regression,R2,0.6782999229513458,0.01091591395351092
random_forest,regression,CCC,0.8083054830271831,0.006605204300933931
random_forest,classification,Accuracy,0.5274586478080863,0.013048895313240851
random_forest,classification,Precision,0.5278356287881155,0.01302703853237058
random_forest,classification,Recall,0.5274586478080863,0.013048895313240851
random_forest,classification,F1_Weighted,0.5255216536982716,0.013762168825384969
random_forest,classification,Kappa,0.05488361371636012,0.02611247884826901
random_forest,classification,AUC,0.5490728565092088,0.012057899699933143
xgboost,regression,MAE,4.665852187544209,0.10186224142772086
xgboost,regression,RMSE,6.564941169833101,0.1502228945522522
xgboost,regression,R2,0.6785202750104331,0.009945944985350803
xgboost,regression,CCC,0.8026238240743643,0.009246289102919383
xgboost,classification,Accuracy,0.5477328103642954,0.008045290755089684
xgboost,classification,Precision,0.5493643509451542,0.007218271067548053
xgboost,classification,Recall,0.5477328103642954,0.008045290755089684
xgboost,classification,F1_Weighted,0.5434217166171715,0.01168539358587925
xgboost,classification,Kappa,0.09541452140773836,0.01608588521107307
xgboost,classification,AUC,0.5579002873070038,0.01187126628449297
lightgbm,regression,MAE,4.73483210514342,0.10894743127805177
lightgbm,regression,RMSE,6.722024744540508,0.15975378721459074
lightgbm,regression,R2,0.6627851792337117,0.015170346177641543
lightgbm,regression,CCC,0.7939937562035716,0.007238364870932272
lightgbm,classification,Accuracy,0.5268980408470514,0.014438557893783328
lightgbm,classification,Precision,0.5271277276541373,0.01457611538332821
lightgbm,classification,Recall,0.5268980408470514,0.014438557893783328
lightgbm,classification,F1_Weighted,0.5261020109219061,0.0141295473029621
lightgbm,classification,Kappa,0.05379801253448298,0.028875117671796773
lightgbm,classification,AUC,0.5369581610568618,0.020903624716290915
svm,regression,MAE,4.784186399314131,0.10768816253838277
svm,regression,RMSE,7.0144892698116195,0.17837502767453084
svm,regression,R2,0.6330529347740195,0.010469664719304298
svm,regression,CCC,0.7814686767601451,0.008492707829051423
svm,classification,Accuracy,0.5139343515382025,0.020109814157835408
svm,classification,Precision,0.5145544481902853,0.020998945802049265
svm,classification,Recall,0.5139343515382025,0.020109814157835408
svm,classification,F1_Weighted,0.5087396243618766,0.020253642699002518
svm,classification,Kappa,0.027806240313542997,0.04016039758056276
svm,classification,AUC,0.5195581267315875,0.017565694622500766
ridge,regression,MAE,8.954932699478848,0.06723638171757386
ridge,regression,RMSE,11.140809475366037,0.2056528478903795
ridge,regression,R2,0.07382075544071451,0.034220001368927694
ridge,regression,CCC,0.16567793287510751,0.01785014895853769
ridge,classification,Accuracy,0.5128079871634872,0.015121706868028934
ridge,classification,Precision,0.513012991574892,0.015462957122005613
ridge,classification,Recall,0.5128079871634872,0.015121706868028934
ridge,classification,F1_Weighted,0.5098016405699567,0.016136162119292762
ridge,classification,Kappa,0.025567414260190647,0.030183016576911803
ridge,classification,AUC,0.5193682410971606,0.017023330938371134
knn,regression,MAE,7.674665354703494,0.14763406443042779
knn,regression,RMSE,10.0249161700939,0.10313523816123261
knn,regression,R2,0.250030808862852,0.023301882699845722
knn,regression,CCC,0.3888368018559007,0.03187378819390084
knn,classification,Accuracy,0.513657019472673,0.013795654859122103
knn,classification,Precision,0.5136683142108117,0.013818083004773956
knn,classification,Recall,0.513657019472673,0.013795654859122103
knn,classification,F1_Weighted,0.5134146397448285,0.013910318939790492
knn,classification,Kappa,0.027306785986163207,0.02758925051936973
knn,classification,AUC,0.5191798131724356,0.008110139591807676
adaboost,regression,MAE,4.741293955834739,0.08453414758059356
adaboost,regression,RMSE,6.671819763294141,0.1493355855158552
adaboost,regression,R2,0.6679679990186939,0.009934278592358101
adaboost,regression,CCC,0.8011682379976619,0.006931823035102735
adaboost,classification,Accuracy,0.5530837344743567,0.0047481011342822965
adaboost,classification,Precision,0.5538650320442339,0.005575662201186279
adaboost,classification,Recall,0.5530837344743567,0.0047481011342822965
adaboost,classification,F1_Weighted,0.5516310478049519,0.00393512824558508
adaboost,classification,Kappa,0.10617419276110829,0.009495728718666491
adaboost,classification,AUC,0.5611097940706433,0.009672196971360132
naive_bayes,regression,MAE,7.696112834531805,0.18861147563075112
naive_bayes,regression,RMSE,10.183965140292576,0.14488123305276665
naive_bayes,regression,R2,0.22608949700751335,0.025097695062708137
naive_bayes,regression,CCC,0.41105085270723674,0.025219128732011906
