,mean,mean,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std,std,std
task,classification,classification,classification,classification,regression,regression,regression,regression,classification,classification,classification,classification,regression,regression,regression,regression
metric_name,AUC,Accuracy,F1_Weighted,Kappa,CCC,MAE,R2,RMSE,AUC,Accuracy,F1_Weighted,Kappa,CCC,MAE,R2,RMSE
model,,,,,,,,,,,,,,,,
lightgbm,0.5369581610568618,0.5268980408470514,0.5261020109219061,0.0537980125344829,0.7939937562035716,4.73483210514342,0.6627851792337117,6.722024744540508,0.0209036247162909,0.0144385578937833,0.0141295473029621,0.0288751176717967,0.0072383648709322,0.1089474312780517,0.0151703461776415,0.1597537872145907
mlp,0.5203381440725379,0.5167575919652939,0.5159179158672067,0.033477610096936,0.667457052916445,5.798591896809426,0.5582319000414772,7.690835629839017,0.0071039077500143,0.0074072434088659,0.0080530896807703,0.0148461395962491,0.0262558382296546,0.4538894046833581,0.0264703587005937,0.1848350211397954
random_forest,0.5490728565092088,0.5274586478080863,0.5255216536982716,0.0548836137163601,0.8083054830271831,4.638203798010125,0.6782999229513458,6.566945938892493,0.0120578996999331,0.0130488953132408,0.0137621688253849,0.026112478848269,0.0066052043009339,0.1009260606727014,0.0109159139535109,0.1528857834367527
ridge,0.5193682410971606,0.5128079871634872,0.5098016405699567,0.0255674142601906,0.1656779328751075,8.954932699478848,0.0738207554407145,11.140809475366035,0.0170233309383711,0.0151217068680289,0.0161361621192927,0.0301830165769118,0.0178501489585376,0.0672363817175738,0.0342200013689276,0.2056528478903795
svm,0.5195581267315875,0.5139343515382025,0.5087396243618766,0.0278062403135429,0.7814686767601451,4.784186399314131,0.6330529347740195,7.01448926981162,0.0175656946225007,0.0201098141578354,0.0202536426990025,0.0401603975805627,0.0084927078290514,0.1076881625383827,0.0104696647193042,0.1783750276745308
xgboost,0.5579002873070038,0.5477328103642954,0.5434217166171715,0.0954145214077383,0.8026238240743643,4.665852187544209,0.6785202750104331,6.564941169833101,0.0118712662844929,0.0080452907550896,0.0116853935858792,0.016085885211073,0.0092462891029193,0.1018622414277208,0.0099459449853508,0.1502228945522522
